Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Exchange,price_change,vols_change
2024-05-10,10.789999961853027,10.789999961853027,9.75,10.0,50300,0.0,0.0,ACCS,AMEX,-0.16597162711476687,0.2606516290726817
2024-08-29,9.600000381469728,10.899999618530272,9.600000381469728,10.729999542236328,21000,0.0,0.0,ACCS,AMEX,0.13544970992657923,2.3333333333333335
2024-08-30,10.84000015258789,12.130000114440918,10.56999969482422,12.0600004196167,15300,0.0,0.0,ACCS,AMEX,0.12395162480157706,-0.27142857142857146
2025-05-23,9.489999771118164,10.5,9.350000381469728,10.5,6100,0.0,0.0,ACCS,AMEX,0.1339092592298885,-0.5906040268456376
2025-06-11,10.380000114440918,12.100000381469728,10.130000114440918,11.949999809265137,23100,0.0,0.0,ACCS,AMEX,0.14463604306259903,13.4375
2024-04-19,43.061693944678915,43.061693944678915,37.56007403686972,37.83466720581055,24700,0.0,0.0,ACU,AMEX,-0.10299925124308207,0.6917808219178083
2024-07-26,39.397195571800715,43.20887319135382,39.33809842584765,42.9330940246582,48200,0.0,0.0,ACU,AMEX,0.12548409558439633,4.073684210526316
2024-01-19,544.3200073242188,568.0800170898438,514.8720092773438,568.0800170898438,417,0.0,0.0,AEON,AMEX,0.10349656285986941,4.873239436619718
2024-01-30,539.280029296875,568.0800170898438,484.55999755859375,521.280029296875,508,0.0,0.0,AEON,AMEX,-0.1502346974076476,2.097560975609756
2024-02-05,496.7999877929687,668.8800048828125,496.7999877929687,668.8800048828125,511,0.0,0.0,AEON,AMEX,0.2902777264311178,1.5550000000000002
2024-03-05,899.280029296875,910.0800170898438,828.0,831.5999755859375,924,0.0,0.0,AEON,AMEX,-0.15816331290692964,-0.42105263157894735
2024-03-06,866.1599731445312,946.0800170898438,849.5999755859375,946.0800170898438,774,0.0,0.0,AEON,AMEX,0.13766239161231897,-0.16233766233766234
2024-03-14,910.0800170898438,1047.5999755859375,874.7999877929688,1044.0,1779,0.0,0.0,AEON,AMEX,0.1426320028553616,0.03310104529616731
2024-03-19,1172.1600341796875,1178.6400146484375,966.9600219726562,1036.800048828125,4933,0.0,0.0,AEON,AMEX,-0.11602206149663519,0.43442861296888635
2024-03-20,995.0399780273438,1069.199951171875,866.8800048828125,906.47998046875,1689,0.0,0.0,AEON,AMEX,-0.12569450445789743,-0.6576120008108657
2024-03-21,915.8400268554688,959.0399780273438,766.7999877929688,784.7999877929688,1228,0.0,0.0,AEON,AMEX,-0.13423351347799128,-0.2729425695677916
2024-04-01,536.4000244140625,549.3599853515625,455.6159973144531,534.9600219726562,2979,0.0,0.0,AEON,AMEX,-0.3594827416740397,3.031123139377537
2024-04-12,603.719970703125,604.7999877929688,540.719970703125,547.2000122070312,525,0.0,0.0,AEON,AMEX,-0.10693295735229014,-0.24892703862660948
2024-04-19,457.2000122070313,457.9200134277344,332.6400146484375,335.5199890136719,1511,0.0,0.0,AEON,AMEX,-0.2874618044204862,1.6278260869565218
2024-04-26,297.3599853515625,365.0400085449219,297.3599853515625,365.0400085449219,1851,0.0,0.0,AEON,AMEX,0.19294120439516949,1.7876506024096384
2024-04-29,368.6400146484375,402.4800109863281,287.2799987792969,287.2799987792969,2000,0.0,0.0,AEON,AMEX,-0.21301777324513693,0.08049702863317121
2024-05-03,100.8000030517578,126.0,99.36000061035156,122.4000015258789,12939,0.0,0.0,AEON,AMEX,-0.4940476089107746,12.506263048016702
2024-05-08,113.76000213623048,129.60000610351562,113.76000213623048,127.44000244140624,1814,0.0,0.0,AEON,AMEX,0.11320753585292165,-0.07965499746321669
2024-05-20,113.76000213623048,123.83999633789062,110.87999725341795,122.4000015258789,1908,0.0,0.0,AEON,AMEX,0.11111108802531389,1.0063091482649842
2024-05-22,120.23999786376952,149.75999450683594,117.36000061035156,143.27999877929688,2122,0.0,0.0,AEON,AMEX,0.20606056480380586,1.7666232073011736
2024-05-23,142.55999755859375,143.06399536132812,119.5199966430664,121.68000030517578,1261,0.0,0.0,AEON,AMEX,-0.15075375947896896,-0.40574929311969843
2024-05-28,126.72000122070312,126.72000122070312,90.72000122070312,99.36000061035156,2371,0.0,0.0,AEON,AMEX,-0.22471911851444926,3.3745387453874542
2024-06-10,120.23999786376952,120.95999908447266,108.0,108.0,474,0.0,0.0,AEON,AMEX,-0.10714285038496085,-0.2639751552795031
2024-06-17,101.5199966430664,115.1999969482422,101.5199966430664,111.5999984741211,875,0.0,0.0,AEON,AMEX,0.11510787802055966,1.521613832853026
2024-06-18,105.83999633789062,111.5999984741211,96.4800033569336,96.4800033569336,532,0.0,0.0,AEON,AMEX,-0.13548382906737833,-0.392
2024-06-21,92.16000366210938,101.5199966430664,78.4800033569336,78.4800033569336,1190,0.0,0.0,AEON,AMEX,-0.14173226966805108,0.5994623655913978
2024-07-12,81.36000061035156,101.5199966430664,79.91999816894531,100.8000030517578,2583,0.0,0.0,AEON,AMEX,0.3207547622486919,12.73936170212766
2024-07-15,131.75999450683594,269.2799987792969,113.76000213623048,164.16000366210938,788601,0.0,0.0,AEON,AMEX,0.6285714155962685,304.3042973286876
2024-07-16,182.16000366210935,239.7599945068359,180.0,205.9199981689453,531182,0.0,0.0,AEON,AMEX,0.2543859257751393,-0.3264248967475314
2024-07-19,181.44000244140625,182.8800048828125,158.39999389648438,162.0,7260,0.0,0.0,AEON,AMEX,-0.12109378492459522,-0.49418240089179966
2024-07-25,187.1999969482422,215.27999877929688,187.1999969482422,210.9600067138672,8619,0.0,0.0,AEON,AMEX,0.10984850947850311,0.37904000000000004
2024-07-26,211.67999267578125,213.1199951171875,181.44000244140625,189.36000061035156,5486,0.0,0.0,AEON,AMEX,-0.10238910417182778,-0.36349924585218707
2024-07-29,188.63999938964844,191.16000366210935,143.27999877929688,145.44000244140625,10901,0.0,0.0,AEON,AMEX,-0.23193915308080315,0.9870579657309515
2024-07-31,137.52000427246094,142.55999755859375,120.95999908447266,123.83999633789062,7219,0.0,0.0,AEON,AMEX,-0.11794870568728999,0.5096194061062318
2024-08-01,122.4000015258789,125.27999877929688,74.87999725341797,82.80000305175781,8789,0.0,0.0,AEON,AMEX,-0.3313953044229543,0.21748164565729322
